index,label,frequency
0,27-11-2015,127
1,21-11-2015,111
2,22-11-2015,106
3,19-11-2015,104
4,20-11-2015,98
5,29-11-2015,85
6,26-11-2015,81
7,23-11-2015,72
8,25-11-2015,70
9,28-11-2015,69
10,01-12-2015,60
11,05-12-2015,57
12,30-11-2015,56
13,03-12-2015,55
14,07-12-2015,52
15,06-12-2015,52
16,15-12-2015,49
17,09-12-2015,47
18,02-12-2015,43
19,24-11-2015,43
20,04-12-2015,43
21,14-12-2015,40
22,08-12-2015,36
23,17-11-2015,34
24,17-12-2015,34
25,16-12-2015,31
26,13-12-2015,29
27,11-12-2015,28
28,10-12-2015,28
29,18-11-2015,22
30,18-12-2015,16
31,12-12-2015,12
32,16-11-2015,3
